module,dataset,split_type,best_r2,cv_r2_mean,cv_r2_std,cv_rmse_mean,cv_rmse_std,cv_mse_mean,cv_mse_std,cv_mae_mean,cv_mae_std,best_r2_fold,best_rmse,best_mse,best_mae,test_r2,test_rmse,test_mse,test_mae,n_features,execution_time,memory_used_mb,params,selected_descriptors,hidden_dims,n_layers,dropout_rate,learning_rate,batch_size,module_type
5_ANO_feature_all_pytorch,ws,rm,0.9791185855865479,0.9791185855865479,0.0044670381925198885,0.3007517644943774,0.032343583016107263,0.09149773120880127,0.01939739846393086,0.22628829777240753,0.024001262544435728,0.9860742092132568,0.24998073205606902,0.06249036639928818,0.19472487270832062,0.9843924045562744,0.2618417024041815,0.06856107711791992,0.1967175006866455,3609,306.57492208480835,64.8828125,"{'MolWt': 0, 'MolLogP': 1, 'MolMR': 1, 'TPSA': 1, 'NumRotatableBonds': 0, 'HeavyAtomCount': 0, 'NumHAcceptors': 0, 'NumHDonors': 1, 'NumHeteroatoms': 1, 'NumValenceElectrons': 1, 'NHOHCount': 0, 'NOCount': 1, 'RingCount': 1, 'NumAromaticRings': 0, 'NumSaturatedRings': 0, 'NumAliphaticRings': 0, 'LabuteASA': 0, 'BalabanJ': 1, 'BertzCT': 0, 'Ipc': 0, 'kappa_Series[1-3]_ind': 1, 'Chi_Series[13]_ind': 0, 'Phi': 0, 'HallKierAlpha': 0, 'NumAmideBonds': 0, 'NumSpiroAtoms': 1, 'NumBridgeheadAtoms': 0, 'FractionCSP3': 1, 'PEOE_VSA_Series[1-14]_ind': 1, 'SMR_VSA_Series[1-10]_ind': 0, 'SlogP_VSA_Series[1-12]_ind': 1, 'EState_VSA_Series[1-11]_ind': 0, 'VSA_EState_Series[1-10]': 0, 'MQNs': 1, 'AUTOCORR2D': 1, 'BCUT2D': 1, 'Asphericity': 0, 'PBF': 0, 'RadiusOfGyration': 1, 'InertialShapeFactor': 0, 'Eccentricity': 0, 'SpherocityIndex': 0, 'PMI_series[1-3]_ind': 0, 'NPR_series[1-2]_ind': 1, 'AUTOCORR3D': 0, 'RDF': 1, 'MORSE': 0, 'WHIM': 1, 'GETAWAY': 1}","['MolLogP', 'MolMR', 'TPSA', 'NumHDonors', 'NumHeteroatoms', 'NumValenceElectrons', 'NOCount', 'RingCount', 'BalabanJ', 'kappa_Series[1-3]_ind', 'NumSpiroAtoms', 'FractionCSP3', 'PEOE_VSA_Series[1-14]_ind', 'SlogP_VSA_Series[1-12]_ind', 'MQNs', 'AUTOCORR2D', 'BCUT2D', 'RadiusOfGyration', 'NPR_series[1-2]_ind', 'RDF', 'WHIM', 'GETAWAY']",[],0,0.0,0.0,0,Feature Only
5_ANO_feature_all_pytorch,de,rm,0.9745541572570801,0.9745541572570801,0.009258079666495212,0.33085886562238737,0.06350119597105251,0.11349999085068703,0.041080598095071454,0.24262461960315704,0.05592195702223837,0.9863640666007996,0.24741965313062267,0.061216484755277634,0.17591658234596252,0.9748911261558533,0.33490941844259015,0.11216431856155396,0.2516558766365051,3609,709.5170180797577,96.08984375,"{'MolWt': 0, 'MolLogP': 1, 'MolMR': 1, 'TPSA': 1, 'NumRotatableBonds': 0, 'HeavyAtomCount': 0, 'NumHAcceptors': 0, 'NumHDonors': 1, 'NumHeteroatoms': 1, 'NumValenceElectrons': 1, 'NHOHCount': 0, 'NOCount': 1, 'RingCount': 1, 'NumAromaticRings': 0, 'NumSaturatedRings': 0, 'NumAliphaticRings': 0, 'LabuteASA': 0, 'BalabanJ': 1, 'BertzCT': 0, 'Ipc': 0, 'kappa_Series[1-3]_ind': 1, 'Chi_Series[13]_ind': 0, 'Phi': 0, 'HallKierAlpha': 0, 'NumAmideBonds': 0, 'NumSpiroAtoms': 1, 'NumBridgeheadAtoms': 0, 'FractionCSP3': 1, 'PEOE_VSA_Series[1-14]_ind': 1, 'SMR_VSA_Series[1-10]_ind': 0, 'SlogP_VSA_Series[1-12]_ind': 1, 'EState_VSA_Series[1-11]_ind': 0, 'VSA_EState_Series[1-10]': 0, 'MQNs': 1, 'AUTOCORR2D': 1, 'BCUT2D': 1, 'Asphericity': 0, 'PBF': 0, 'RadiusOfGyration': 1, 'InertialShapeFactor': 0, 'Eccentricity': 0, 'SpherocityIndex': 0, 'PMI_series[1-3]_ind': 0, 'NPR_series[1-2]_ind': 1, 'AUTOCORR3D': 0, 'RDF': 1, 'MORSE': 0, 'WHIM': 1, 'GETAWAY': 1}","['MolLogP', 'MolMR', 'TPSA', 'NumHDonors', 'NumHeteroatoms', 'NumValenceElectrons', 'NOCount', 'RingCount', 'BalabanJ', 'kappa_Series[1-3]_ind', 'NumSpiroAtoms', 'FractionCSP3', 'PEOE_VSA_Series[1-14]_ind', 'SlogP_VSA_Series[1-12]_ind', 'MQNs', 'AUTOCORR2D', 'BCUT2D', 'RadiusOfGyration', 'NPR_series[1-2]_ind', 'RDF', 'WHIM', 'GETAWAY']",[],0,0.0,0.0,0,Feature Only
5_ANO_feature_all_pytorch,lo,rm,0.9622946500778198,0.9622946500778198,0.009423364529161982,0.3128684976192078,0.03740483703904028,0.09928581863641739,0.024170379893686332,0.23555082380771636,0.02379635149776783,0.9720214605331421,0.2774323872513845,0.0769687294960022,0.21590538322925568,0.9699805974960327,0.2815193634775857,0.07925315201282501,0.21753716468811035,3609,488.6607463359833,68.12109375,"{'MolWt': 0, 'MolLogP': 1, 'MolMR': 1, 'TPSA': 1, 'NumRotatableBonds': 0, 'HeavyAtomCount': 0, 'NumHAcceptors': 0, 'NumHDonors': 1, 'NumHeteroatoms': 1, 'NumValenceElectrons': 1, 'NHOHCount': 0, 'NOCount': 1, 'RingCount': 1, 'NumAromaticRings': 0, 'NumSaturatedRings': 0, 'NumAliphaticRings': 0, 'LabuteASA': 0, 'BalabanJ': 1, 'BertzCT': 0, 'Ipc': 0, 'kappa_Series[1-3]_ind': 1, 'Chi_Series[13]_ind': 0, 'Phi': 0, 'HallKierAlpha': 0, 'NumAmideBonds': 0, 'NumSpiroAtoms': 1, 'NumBridgeheadAtoms': 0, 'FractionCSP3': 1, 'PEOE_VSA_Series[1-14]_ind': 1, 'SMR_VSA_Series[1-10]_ind': 0, 'SlogP_VSA_Series[1-12]_ind': 1, 'EState_VSA_Series[1-11]_ind': 0, 'VSA_EState_Series[1-10]': 0, 'MQNs': 1, 'AUTOCORR2D': 1, 'BCUT2D': 1, 'Asphericity': 0, 'PBF': 0, 'RadiusOfGyration': 1, 'InertialShapeFactor': 0, 'Eccentricity': 0, 'SpherocityIndex': 0, 'PMI_series[1-3]_ind': 0, 'NPR_series[1-2]_ind': 1, 'AUTOCORR3D': 0, 'RDF': 1, 'MORSE': 0, 'WHIM': 1, 'GETAWAY': 1}","['MolLogP', 'MolMR', 'TPSA', 'NumHDonors', 'NumHeteroatoms', 'NumValenceElectrons', 'NOCount', 'RingCount', 'BalabanJ', 'kappa_Series[1-3]_ind', 'NumSpiroAtoms', 'FractionCSP3', 'PEOE_VSA_Series[1-14]_ind', 'SlogP_VSA_Series[1-12]_ind', 'MQNs', 'AUTOCORR2D', 'BCUT2D', 'RadiusOfGyration', 'NPR_series[1-2]_ind', 'RDF', 'WHIM', 'GETAWAY']",[],0,0.0,0.0,0,Feature Only
5_ANO_feature_all_pytorch,hu,rm,0.9510283827781677,0.9510283827781677,0.020962325261362727,0.4411866774010617,0.09289274418918254,0.20327474623918534,0.08562912522294919,0.2977484047412872,0.07730892327714516,0.9714195728302002,0.3448765026072239,0.11893980205059052,0.27572062611579895,0.9594064950942993,0.41110309121898153,0.16900575160980225,0.27263882756233215,3609,570.9244112968445,98.76171875,"{'MolWt': 0, 'MolLogP': 1, 'MolMR': 1, 'TPSA': 1, 'NumRotatableBonds': 0, 'HeavyAtomCount': 0, 'NumHAcceptors': 0, 'NumHDonors': 1, 'NumHeteroatoms': 1, 'NumValenceElectrons': 1, 'NHOHCount': 0, 'NOCount': 1, 'RingCount': 1, 'NumAromaticRings': 0, 'NumSaturatedRings': 0, 'NumAliphaticRings': 0, 'LabuteASA': 0, 'BalabanJ': 1, 'BertzCT': 0, 'Ipc': 0, 'kappa_Series[1-3]_ind': 1, 'Chi_Series[13]_ind': 0, 'Phi': 0, 'HallKierAlpha': 0, 'NumAmideBonds': 0, 'NumSpiroAtoms': 1, 'NumBridgeheadAtoms': 0, 'FractionCSP3': 1, 'PEOE_VSA_Series[1-14]_ind': 1, 'SMR_VSA_Series[1-10]_ind': 0, 'SlogP_VSA_Series[1-12]_ind': 1, 'EState_VSA_Series[1-11]_ind': 0, 'VSA_EState_Series[1-10]': 0, 'MQNs': 1, 'AUTOCORR2D': 1, 'BCUT2D': 1, 'Asphericity': 0, 'PBF': 0, 'RadiusOfGyration': 1, 'InertialShapeFactor': 0, 'Eccentricity': 0, 'SpherocityIndex': 0, 'PMI_series[1-3]_ind': 0, 'NPR_series[1-2]_ind': 1, 'AUTOCORR3D': 0, 'RDF': 1, 'MORSE': 0, 'WHIM': 1, 'GETAWAY': 1}","['MolLogP', 'MolMR', 'TPSA', 'NumHDonors', 'NumHeteroatoms', 'NumValenceElectrons', 'NOCount', 'RingCount', 'BalabanJ', 'kappa_Series[1-3]_ind', 'NumSpiroAtoms', 'FractionCSP3', 'PEOE_VSA_Series[1-14]_ind', 'SlogP_VSA_Series[1-12]_ind', 'MQNs', 'AUTOCORR2D', 'BCUT2D', 'RadiusOfGyration', 'NPR_series[1-2]_ind', 'RDF', 'WHIM', 'GETAWAY']",[],0,0.0,0.0,0,Feature Only
6_ANO_structure_all_pytorch,ws,rm,0.9616610765457153,0.9616610765457153,0.005217028600674029,0.4092837774749647,0.02784892805993001,0.16828877329826356,0.02387347826517156,0.2669790208339691,0.01979277307975109,0.9672417640686035,0.38651590132727537,0.14939454197883606,0.2726001441478729,0.9628658294677734,0.40388478825289165,0.16312292218208313,0.2540477514266968,2727,266.41178345680237,17.25390625,"{'n_layers': 3, 'hidden_dim_0': 256, 'hidden_dim_1': 64, 'hidden_dim_2': 64, 'dropout_rate': 0.4464704583099741, 'learning_rate': 0.0015930522616241021, 'batch_size': 64}",[],"[256, 64, 64]",3,0.4464704583099741,0.0015930522616241021,64,Structure Only
6_ANO_structure_all_pytorch,de,rm,0.9714700222015381,0.9714700222015381,0.00646745225924315,0.3547759385064052,0.043988976556416565,0.12780099660158156,0.030216271104995793,0.2187500536441803,0.036256214285893894,0.9817618727684021,0.2794760816026808,0.07810688018798828,0.1648595780134201,0.9644414782524109,0.39855284049879114,0.15884436666965485,0.25973111391067505,2727,204.46720266342163,9.875,"{'n_layers': 3, 'hidden_dim_0': 256, 'hidden_dim_1': 64, 'hidden_dim_2': 64, 'dropout_rate': 0.4464704583099741, 'learning_rate': 0.0015930522616241021, 'batch_size': 64}",[],"[256, 64, 64]",3,0.4464704583099741,0.0015930522616241021,64,Structure Only
6_ANO_structure_all_pytorch,lo,rm,0.9805521249771119,0.9805521249771119,0.002263287473637779,0.2260094058157855,0.01036674382866363,0.051187720894813535,0.004685246830127937,0.1698906421661377,0.010350969218431684,0.9839736819267273,0.20997230144176454,0.044088367372751236,0.16095565259456635,0.9831438064575195,0.21095372949966676,0.04450147598981857,0.16033509373664856,2727,159.2133810520172,5.078125,"{'n_layers': 3, 'hidden_dim_0': 256, 'hidden_dim_1': 64, 'hidden_dim_2': 64, 'dropout_rate': 0.4464704583099741, 'learning_rate': 0.0015930522616241021, 'batch_size': 64}",[],"[256, 64, 64]",3,0.4464704583099741,0.0015930522616241021,64,Structure Only
6_ANO_structure_all_pytorch,hu,rm,0.9806780815124512,0.9806780815124512,0.003386298089728304,0.282496969657594,0.02465953915028102,0.08041263073682785,0.01395272842664505,0.17289381027221679,0.01857869327668274,0.9849141836166382,0.25048358161785866,0.06274202466011047,0.1726515144109726,0.9759908318519592,0.31616282812795354,0.09995893388986588,0.20641778409481049,2727,443.1369254589081,-3.640625,"{'n_layers': 3, 'hidden_dim_0': 256, 'hidden_dim_1': 64, 'hidden_dim_2': 64, 'dropout_rate': 0.4464704583099741, 'learning_rate': 0.0015930522616241021, 'batch_size': 64}",[],"[256, 64, 64]",3,0.4464704583099741,0.0015930522616241021,64,Structure Only
7_ANO_network_feature_structure_pytorch,ws,rm,0.9706236124038696,0.9706236124038696,0.006895528796986279,0.3559330020555279,0.0352482067572764,0.12793073803186417,0.02515396209597191,0.2630831480026245,0.03212463184564086,0.9807223081588745,0.30311022162052503,0.09187580645084381,0.22960728406906128,0.9856008291244507,0.2517061871614625,0.06335600465536118,0.19462917745113373,3609,378.36217284202576,46.11328125,"{'n_layers': 3, 'hidden_dim_0': 256, 'hidden_dim_1': 64, 'hidden_dim_2': 64, 'dropout_rate': 0.4464704583099741, 'learning_rate': 0.0015930522616241021, 'batch_size': 64}","['MolLogP', 'MolMR', 'TPSA', 'NumHDonors', 'NumHeteroatoms', 'NumValenceElectrons', 'NOCount', 'RingCount', 'BalabanJ', 'kappa_Series[1-3]_ind', 'FractionCSP3', 'NumSpiroAtoms', 'PEOE_VSA_Series[1-14]_ind', 'SlogP_VSA_Series[1-12]_ind', 'MQNs', 'AUTOCORR2D', 'BCUT2D', 'RadiusOfGyration', 'NPR_series[1-2]_ind', 'RDF', 'WHIM', 'GETAWAY']","[256, 64, 64]",3,0.4464704583099741,0.0015930522616241021,64,Feature→Structure
7_ANO_network_feature_structure_pytorch,de,rm,0.9738102078437805,0.9738102078437805,0.009217931963854228,0.3363285262284557,0.05817726227020202,0.11650147140026093,0.04048886363807343,0.25512448251247405,0.03671577981670921,0.9849223494529724,0.2642401047191909,0.06982283294200897,0.20574693381786346,0.9741733074188232,0.339663315151577,0.11537116765975952,0.2732703983783722,3609,667.9706740379333,86.21484375,"{'n_layers': 3, 'hidden_dim_0': 256, 'hidden_dim_1': 64, 'hidden_dim_2': 64, 'dropout_rate': 0.4464704583099741, 'learning_rate': 0.0015930522616241021, 'batch_size': 64}","['MolLogP', 'MolMR', 'TPSA', 'NumHDonors', 'NumHeteroatoms', 'NumValenceElectrons', 'NOCount', 'RingCount', 'BalabanJ', 'kappa_Series[1-3]_ind', 'FractionCSP3', 'NumSpiroAtoms', 'PEOE_VSA_Series[1-14]_ind', 'SlogP_VSA_Series[1-12]_ind', 'MQNs', 'AUTOCORR2D', 'BCUT2D', 'RadiusOfGyration', 'NPR_series[1-2]_ind', 'RDF', 'WHIM', 'GETAWAY']","[256, 64, 64]",3,0.4464704583099741,0.0015930522616241021,64,Feature→Structure
7_ANO_network_feature_structure_pytorch,lo,rm,0.950530207157135,0.950530207157135,0.029679774093848733,0.34614733231320305,0.10001013050109855,0.12982000187039375,0.07676178188188078,0.26446845233440397,0.07906701630516007,0.9822366833686829,0.22055667474360915,0.048645246773958206,0.16468222439289093,0.9560689330101013,0.341015571253402,0.11629161983728409,0.2847234606742859,3609,201.62090468406677,70.65625,"{'n_layers': 3, 'hidden_dim_0': 256, 'hidden_dim_1': 64, 'hidden_dim_2': 64, 'dropout_rate': 0.4464704583099741, 'learning_rate': 0.0015930522616241021, 'batch_size': 64}","['MolLogP', 'MolMR', 'TPSA', 'NumHDonors', 'NumHeteroatoms', 'NumValenceElectrons', 'NOCount', 'RingCount', 'BalabanJ', 'kappa_Series[1-3]_ind', 'FractionCSP3', 'NumSpiroAtoms', 'PEOE_VSA_Series[1-14]_ind', 'SlogP_VSA_Series[1-12]_ind', 'MQNs', 'AUTOCORR2D', 'BCUT2D', 'RadiusOfGyration', 'NPR_series[1-2]_ind', 'RDF', 'WHIM', 'GETAWAY']","[256, 64, 64]",3,0.4464704583099741,0.0015930522616241021,64,Feature→Structure
7_ANO_network_feature_structure_pytorch,hu,rm,0.9664217352867126,0.9664217352867126,0.01596892818653102,0.36330935392869557,0.0914496761754388,0.1403567299246788,0.06833696922990559,0.21285815834999083,0.028279180505575017,0.984453022480011,0.253530341428043,0.06427763402462006,0.17631284892559052,0.8916692733764648,0.6716128880416657,0.451063871383667,0.4998612105846405,3609,301.1973628997803,93.984375,"{'n_layers': 3, 'hidden_dim_0': 256, 'hidden_dim_1': 64, 'hidden_dim_2': 64, 'dropout_rate': 0.4464704583099741, 'learning_rate': 0.0015930522616241021, 'batch_size': 64}","['MolLogP', 'MolMR', 'TPSA', 'NumHDonors', 'NumHeteroatoms', 'NumValenceElectrons', 'NOCount', 'RingCount', 'BalabanJ', 'kappa_Series[1-3]_ind', 'FractionCSP3', 'NumSpiroAtoms', 'PEOE_VSA_Series[1-14]_ind', 'SlogP_VSA_Series[1-12]_ind', 'MQNs', 'AUTOCORR2D', 'BCUT2D', 'RadiusOfGyration', 'NPR_series[1-2]_ind', 'RDF', 'WHIM', 'GETAWAY']","[256, 64, 64]",3,0.4464704583099741,0.0015930522616241021,64,Feature→Structure
8_ANO_network_structure_feature_pytorch,ws,rm,0.9639240741729737,0.9639240741729737,0.010814551646187326,0.3929310347504952,0.06486028828118516,0.15860165506601334,0.04796336020093733,0.2997681021690369,0.057606002998304776,0.9824779629707336,0.2785195825196635,0.07757315784692764,0.20904412865638733,0.9795610904693604,0.29988438792558364,0.08993064612150192,0.2191421091556549,3609,259.4689474105835,51.84765625,"{'MolWt': 0, 'MolLogP': 1, 'MolMR': 1, 'TPSA': 1, 'NumRotatableBonds': 0, 'HeavyAtomCount': 0, 'NumHAcceptors': 0, 'NumHDonors': 1, 'NumHeteroatoms': 1, 'NumValenceElectrons': 1, 'NHOHCount': 0, 'NOCount': 1, 'RingCount': 1, 'NumAromaticRings': 0, 'NumSaturatedRings': 0, 'NumAliphaticRings': 0, 'LabuteASA': 0, 'BalabanJ': 1, 'BertzCT': 0, 'Ipc': 0, 'kappa_Series[1-3]_ind': 1, 'Chi_Series[13]_ind': 0, 'Phi': 0, 'HallKierAlpha': 0, 'NumAmideBonds': 0, 'NumSpiroAtoms': 1, 'NumBridgeheadAtoms': 0, 'FractionCSP3': 1, 'PEOE_VSA_Series[1-14]_ind': 1, 'SMR_VSA_Series[1-10]_ind': 0, 'SlogP_VSA_Series[1-12]_ind': 1, 'EState_VSA_Series[1-11]_ind': 0, 'VSA_EState_Series[1-10]': 0, 'MQNs': 1, 'AUTOCORR2D': 1, 'BCUT2D': 1, 'Asphericity': 0, 'PBF': 0, 'RadiusOfGyration': 1, 'InertialShapeFactor': 0, 'Eccentricity': 0, 'SpherocityIndex': 0, 'PMI_series[1-3]_ind': 0, 'NPR_series[1-2]_ind': 1, 'AUTOCORR3D': 0, 'RDF': 1, 'MORSE': 0, 'WHIM': 1, 'GETAWAY': 1}","['MolLogP', 'MolMR', 'TPSA', 'NumHDonors', 'NumHeteroatoms', 'NumValenceElectrons', 'NOCount', 'RingCount', 'BalabanJ', 'kappa_Series[1-3]_ind', 'NumSpiroAtoms', 'FractionCSP3', 'PEOE_VSA_Series[1-14]_ind', 'SlogP_VSA_Series[1-12]_ind', 'MQNs', 'AUTOCORR2D', 'BCUT2D', 'RadiusOfGyration', 'NPR_series[1-2]_ind', 'RDF', 'WHIM', 'GETAWAY']","[256, 64, 64]",3,0.4464704583099741,0.0015930522616241021,64,Structure→Feature
8_ANO_network_structure_feature_pytorch,de,rm,0.9776390314102172,0.9776390314102172,0.010356536469929916,0.30898017923669086,0.06460233376423224,0.09964221268892288,0.04590882251109202,0.24121074974536896,0.04905567871194275,0.9850207567214966,0.2633763670666325,0.06936711072921753,0.21365830302238464,0.9778046607971191,0.3148798919455219,0.09914934635162354,0.23883110284805298,3609,578.6101024150848,64.25390625,"{'MolWt': 0, 'MolLogP': 1, 'MolMR': 1, 'TPSA': 1, 'NumRotatableBonds': 0, 'HeavyAtomCount': 0, 'NumHAcceptors': 0, 'NumHDonors': 1, 'NumHeteroatoms': 1, 'NumValenceElectrons': 1, 'NHOHCount': 0, 'NOCount': 1, 'RingCount': 1, 'NumAromaticRings': 0, 'NumSaturatedRings': 0, 'NumAliphaticRings': 0, 'LabuteASA': 0, 'BalabanJ': 1, 'BertzCT': 0, 'Ipc': 0, 'kappa_Series[1-3]_ind': 1, 'Chi_Series[13]_ind': 0, 'Phi': 0, 'HallKierAlpha': 0, 'NumAmideBonds': 0, 'NumSpiroAtoms': 1, 'NumBridgeheadAtoms': 0, 'FractionCSP3': 1, 'PEOE_VSA_Series[1-14]_ind': 1, 'SMR_VSA_Series[1-10]_ind': 0, 'SlogP_VSA_Series[1-12]_ind': 1, 'EState_VSA_Series[1-11]_ind': 0, 'VSA_EState_Series[1-10]': 0, 'MQNs': 1, 'AUTOCORR2D': 1, 'BCUT2D': 1, 'Asphericity': 0, 'PBF': 0, 'RadiusOfGyration': 1, 'InertialShapeFactor': 0, 'Eccentricity': 0, 'SpherocityIndex': 0, 'PMI_series[1-3]_ind': 0, 'NPR_series[1-2]_ind': 1, 'AUTOCORR3D': 0, 'RDF': 1, 'MORSE': 0, 'WHIM': 1, 'GETAWAY': 1}","['MolLogP', 'MolMR', 'TPSA', 'NumHDonors', 'NumHeteroatoms', 'NumValenceElectrons', 'NOCount', 'RingCount', 'BalabanJ', 'kappa_Series[1-3]_ind', 'NumSpiroAtoms', 'FractionCSP3', 'PEOE_VSA_Series[1-14]_ind', 'SlogP_VSA_Series[1-12]_ind', 'MQNs', 'AUTOCORR2D', 'BCUT2D', 'RadiusOfGyration', 'NPR_series[1-2]_ind', 'RDF', 'WHIM', 'GETAWAY']","[256, 64, 64]",3,0.4464704583099741,0.0015930522616241021,64,Structure→Feature
8_ANO_network_structure_feature_pytorch,lo,rm,0.9511277556419373,0.9511277556419373,0.02561816801117554,0.34699253988446943,0.09145199005932936,0.12876728922128677,0.06678669588286759,0.27373660504817965,0.06960486730476541,0.9823130369186401,0.22008209287230537,0.04843612760305405,0.17372958362102509,0.9441030025482178,0.3846649193043637,0.14796710014343262,0.29078608751296997,3609,258.69460439682007,52.28125,"{'MolWt': 0, 'MolLogP': 1, 'MolMR': 1, 'TPSA': 1, 'NumRotatableBonds': 0, 'HeavyAtomCount': 0, 'NumHAcceptors': 0, 'NumHDonors': 1, 'NumHeteroatoms': 1, 'NumValenceElectrons': 1, 'NHOHCount': 0, 'NOCount': 1, 'RingCount': 1, 'NumAromaticRings': 0, 'NumSaturatedRings': 0, 'NumAliphaticRings': 0, 'LabuteASA': 0, 'BalabanJ': 1, 'BertzCT': 0, 'Ipc': 0, 'kappa_Series[1-3]_ind': 1, 'Chi_Series[13]_ind': 0, 'Phi': 0, 'HallKierAlpha': 0, 'NumAmideBonds': 0, 'NumSpiroAtoms': 1, 'NumBridgeheadAtoms': 0, 'FractionCSP3': 1, 'PEOE_VSA_Series[1-14]_ind': 1, 'SMR_VSA_Series[1-10]_ind': 0, 'SlogP_VSA_Series[1-12]_ind': 1, 'EState_VSA_Series[1-11]_ind': 0, 'VSA_EState_Series[1-10]': 0, 'MQNs': 1, 'AUTOCORR2D': 1, 'BCUT2D': 1, 'Asphericity': 0, 'PBF': 0, 'RadiusOfGyration': 1, 'InertialShapeFactor': 0, 'Eccentricity': 0, 'SpherocityIndex': 0, 'PMI_series[1-3]_ind': 0, 'NPR_series[1-2]_ind': 1, 'AUTOCORR3D': 0, 'RDF': 1, 'MORSE': 0, 'WHIM': 1, 'GETAWAY': 1}","['MolLogP', 'MolMR', 'TPSA', 'NumHDonors', 'NumHeteroatoms', 'NumValenceElectrons', 'NOCount', 'RingCount', 'BalabanJ', 'kappa_Series[1-3]_ind', 'NumSpiroAtoms', 'FractionCSP3', 'PEOE_VSA_Series[1-14]_ind', 'SlogP_VSA_Series[1-12]_ind', 'MQNs', 'AUTOCORR2D', 'BCUT2D', 'RadiusOfGyration', 'NPR_series[1-2]_ind', 'RDF', 'WHIM', 'GETAWAY']","[256, 64, 64]",3,0.4464704583099741,0.0015930522616241021,64,Structure→Feature
8_ANO_network_structure_feature_pytorch,hu,rm,0.954087233543396,0.954087233543396,0.029195446483070805,0.4109588517901086,0.14509838795411403,0.189940720051527,0.11872720173676182,0.24928524792194368,0.08102353686986424,0.9889810085296631,0.21496906960418274,0.04621170088648796,0.16476795077323914,0.9670275449752808,0.370526130637687,0.1372896134853363,0.2017001062631607,3609,353.644549369812,71.390625,"{'MolWt': 0, 'MolLogP': 1, 'MolMR': 1, 'TPSA': 1, 'NumRotatableBonds': 0, 'HeavyAtomCount': 0, 'NumHAcceptors': 0, 'NumHDonors': 1, 'NumHeteroatoms': 1, 'NumValenceElectrons': 1, 'NHOHCount': 0, 'NOCount': 1, 'RingCount': 1, 'NumAromaticRings': 0, 'NumSaturatedRings': 0, 'NumAliphaticRings': 0, 'LabuteASA': 0, 'BalabanJ': 1, 'BertzCT': 0, 'Ipc': 0, 'kappa_Series[1-3]_ind': 1, 'Chi_Series[13]_ind': 0, 'Phi': 0, 'HallKierAlpha': 0, 'NumAmideBonds': 0, 'NumSpiroAtoms': 1, 'NumBridgeheadAtoms': 0, 'FractionCSP3': 1, 'PEOE_VSA_Series[1-14]_ind': 1, 'SMR_VSA_Series[1-10]_ind': 0, 'SlogP_VSA_Series[1-12]_ind': 1, 'EState_VSA_Series[1-11]_ind': 0, 'VSA_EState_Series[1-10]': 0, 'MQNs': 1, 'AUTOCORR2D': 1, 'BCUT2D': 1, 'Asphericity': 0, 'PBF': 0, 'RadiusOfGyration': 1, 'InertialShapeFactor': 0, 'Eccentricity': 0, 'SpherocityIndex': 0, 'PMI_series[1-3]_ind': 0, 'NPR_series[1-2]_ind': 1, 'AUTOCORR3D': 0, 'RDF': 1, 'MORSE': 0, 'WHIM': 1, 'GETAWAY': 1}","['MolLogP', 'MolMR', 'TPSA', 'NumHDonors', 'NumHeteroatoms', 'NumValenceElectrons', 'NOCount', 'RingCount', 'BalabanJ', 'kappa_Series[1-3]_ind', 'NumSpiroAtoms', 'FractionCSP3', 'PEOE_VSA_Series[1-14]_ind', 'SlogP_VSA_Series[1-12]_ind', 'MQNs', 'AUTOCORR2D', 'BCUT2D', 'RadiusOfGyration', 'NPR_series[1-2]_ind', 'RDF', 'WHIM', 'GETAWAY']","[256, 64, 64]",3,0.4464704583099741,0.0015930522616241021,64,Structure→Feature
